"","V1","V2"
"1","density","gain"
"2","0.6860","17.60"
"3","0.6860","17.30"
"4","0.6860","16.90"
"5","0.6860","16.20"
"6","0.6860","17.10"
"7","0.6860","18.50"
"8","0.6860","18.70"
"9","0.6860","17.40"
"10","0.6860","18.60"
"11","0.6860","16.80"
"12","0.6040","24.80"
"13","0.6040","25.90"
"14","0.6040","26.30"
"15","0.6040","24.80"
"16","0.6040","24.80"
"17","0.6040","27.60"
"18","0.6040","28.50"
"19","0.6040","30.50"
"20","0.6040","28.40"
"21","0.6040","27.70"
"22","0.5080","39.40"
"23","0.5080","37.60"
"24","0.5080","38.10"
"25","0.5080","37.70"
"26","0.5080","36.30"
"27","0.5080","38.70"
"28","0.5080","39.40"
"29","0.5080","38.80"
"30","0.5080","39.20"
"31","0.5080","40.30"
"32","0.4120","60.00"
"33","0.4120","58.30"
"34","0.4120","59.60"
"35","0.4120","59.10"
"36","0.4120","56.30"
"37","0.4120","55.00"
"38","0.4120","52.90"
"39","0.4120","54.10"
"40","0.4120","56.90"
"41","0.4120","56.00"
"42","0.3180","87.00"
"43","0.3180","92.70"
"44","0.3180","90.50"
"45","0.3180","85.80"
"46","0.3180","87.50"
"47","0.3180","88.30"
"48","0.3180","91.60"
"49","0.3180","88.20"
"50","0.3180","88.60"
"51","0.3180","84.70"
"52","0.2230","128.0"
"53","0.2230","130.0"
"54","0.2230","131.0"
"55","0.2230","129.0"
"56","0.2230","127.0"
"57","0.2230","129.0"
"58","0.2230","132.0"
"59","0.2230","133.0"
"60","0.2230","134.0"
"61","0.2230","133.0"
"62","0.1480","199.0"
"63","0.1480","204.0"
"64","0.1480","199.0"
"65","0.1480","207.0"
"66","0.1480","200.0"
"67","0.1480","200.0"
"68","0.1480","205.0"
"69","0.1480","202.0"
"70","0.1480","199.0"
"71","0.1480","199.0"
"72","0.0800","298.0"
"73","0.0800","298.0"
"74","0.0800","297.0"
"75","0.0800","288.0"
"76","0.0800","296.0"
"77","0.0800","293.0"
"78","0.0800","301.0"
"79","0.0800","299.0"
"80","0.0800","298.0"
"81","0.0800","293.0"
"82","0.0010","423.0"
"83","0.0010","421.0"
"84","0.0010","422.0"
"85","0.0010","428.0"
"86","0.0010","436.0"
"87","0.0010","427.0"
"88","0.0010","426.0"
"89","0.0010","428.0"
"90","0.0010","427.0"
"91","0.0010","429.0"
